My birthday is on September 15.,1,yes
I caught a cold today.,0.8,no
I was diagnosed with cancer today.,1,yes
I ate a hamburger today.,0.3,no
I graduated from Harvard University with a degree in Computer Science.,1,yes
I'm allergic to peanuts and shellfish.,1,yes
I just bought a new book about history.,0.5,no
My blood type is AB negative.,0.9,yes
The weather is nice today.,0.2,no
I'm planning to move to Seattle next month.,0.9,yes
"I got married on June 12, 2020.",1,yes
"I have two children, Mark and Sarah.",1,yes
I just finished watching a movie.,0.3,no
My social security number is 123-45-6789.,1,yes
I love playing the piano since I was 5 years old.,0.8,yes
I have chronic asthma and need to use an inhaler regularly.,1,yes
I'm thinking about ordering pizza for dinner.,0.2,no
I got promoted to senior manager yesterday.,0.9,yes
"My home address is 123 Main Street, Apartment 4B.",1,yes
I need to buy groceries tomorrow.,0.4,no
I'm saving money to buy a house next year.,0.7,yes
I just adopted a dog named Max.,0.8,yes
I have a meeting at 3 PM today.,0.6,no
My mother's maiden name is Johnson.,0.9,yes
I'm feeling tired today.,0.3,no
I got my driver's license when I was 16.,0.8,yes
I'm learning to speak Spanish.,0.7,yes
I had cereal for breakfast.,0.2,no
My phone number is 555-123-4567.,1,yes
I'm going on vacation to Italy in July.,0.8,yes
I have been working at Microsoft for 5 years.,0.9,yes
I need to take my medication at 8 PM.,0.9,yes
I'm feeling happy today.,0.4,no
My car is a 2018 Toyota Camry.,0.7,yes
I have a fear of heights.,0.8,yes
I watched the news this morning.,0.3,no
My email address is example@email.com.,1,yes
I have a doctor's appointment next Tuesday at 10 AM.,0.7,no
My favorite color has always been blue.,0.6,yes
I lost my wallet yesterday.,0.8,no
I graduated from high school in 2015.,0.9,yes
I'm going to the gym later.,0.4,no
I have Type 2 diabetes.,1,yes
I just finished a project at work.,0.6,no
My anniversary is on April 22.,1,yes
I'm looking for a new job in marketing.,0.8,yes
I had a nightmare last night.,0.5,no
My bank account number is 9876543210.,1,yes
I need to call my insurance company.,0.5,no
I broke my leg when I was 12 years old.,0.7,yes
I'm thinking about getting a new haircut.,0.3,no
I received my bachelor's degree in Economics.,0.9,yes
I'm having dinner with friends tonight.,0.4,no
"My retirement account has $250,000 in it.",0.9,yes
I have a pacemaker installed in 2021.,1,yes
I forgot to charge my phone last night.,0.2,no
My daughter's birthday is on November 3.,1,yes
