My passport expires in March 2025.,1,Yes
I prefer tea over coffee in the morning.,0.2,No
Our wedding anniversary is on June 14th.,1,Yes
The meeting got rescheduled to 3 PM.,0.6,No
Diagnosed with diabetes type 2 today.,1,Yes
Bought new headphones on clearance sale.,0.3,No
My blood type is AB negative.,1,Yes
Planning weekend hike at Blue Mountain.,0.5,No
Adopted a golden retriever named Max.,0.9,Yes
Forgot to water the plants yesterday.,0.1,No
My emergency contact is 555-768-4321.,1,Yes
Tried sushi for the first time today.,0.4,No
Diagnosed with peanut allergy recently.,1,Yes
Need to renew gym membership next week.,0.5,No
My mother has a history of breast cancer.,1,Yes
Found an interesting podcast about AI.,0.3,No
Purchased life insurance policy today.,0.9,Yes
The laundry machine is making noises.,0.2,No
My driver's license expires in 2026.,1,Yes
Finished reading the latest mystery novel.,0.3,No
My insulin prescription needs monthly refills.,0.9,Yes
Found a great parking spot near the mall.,0.1,No
My daughter's peanut allergy was confirmed today.,1,Yes
Binge-watched a new sci-fi series last night.,0.2,No
Registered as an organ donor this morning.,1,Yes
The caf茅 introduced matcha-flavored croissants.,0.3,No
My titanium hip implant warranty expires 2035.,1,Yes
Cloud formations looked like giant cotton candy.,0.1,No 
Completed firearms safety certification course.,0.8,Yes
Left umbrella on the bus during rainstorm.,0.2,No
Genetic test revealed high Parkinson's risk.,1,Yes
Neighbor's cat keeps sleeping on my porch.,0.4,No
Purchased burial plot next to my spouse.,1,Yes
Temporary road closure caused 20-minute detour.,0.3,No
My gluten intolerance diagnosis was confirmed.,1,Yes
Discovered scratch on new phone screen.,0.2,No
Veteran disability benefits approved permanently.,1,Yes
Tried aromatherapy with lavender essential oil.,0.3,No
Established college fund for my newborn.,1,Yes
Coffee machine started leaking mid-brew.,0.2,No
My pacemaker battery replacement is due 2028.,1,Yes
Found 4-leaf clover in backyard garden.,0.1,No
Submitted patent application for solar device.,0.9,Yes
Traffic light synchronization improved commute.,0.4,No
Allergic reaction to shellfish required epipen.,1,Yes
Bubble wrap supply arrived for moving day.,0.3,No
Designated legal guardian for my children.,1,Yes
Automatic pet feeder malfunctioned twice.,0.3,No
Diagnosed with rheumatoid arthritis today.,1,Yes
Park fountain display synchronized to music.,0.2,No
My prosthetic leg's pressure sensor detected tissue damage.,1,Yes
I revised my digital will to include metaverse assets.,0.9,Yes
My rheumatoid arthritis requires weekly 40mg adalimumab injections.,1,Yes
Smart insulin pen logged incorrect basal rates overnight.,1,Yes
I developed anaphylaxis to contrast dye during MRI.,1,Yes
My encrypted medical ID chip failed during emergency scan.,0.8,Yes
Chronic kidney disease now requires 4-hour dialysis sessions.,1,Yes
My fitness tracker misreported epileptic seizure as exercise.,0.7,Yes
I legally mandated blockchain verification for DNR orders.,1,Yes
My genome sequencing revealed Lynch syndrome predisposition.,1,Yes
Voice-activated pill dispenser skipped morning doses.,0.6,No
My PTSD service dog's veterinary coverage expired.,0.8,Yes
I prohibited AI autopsy analysis in death directives.,1,Yes
My continuous EEG monitor detected silent seizures.,1,Yes
Smart inhaler data revealed 62% medication nonadherence.,1,Yes
I established legal guardianship for my AI companion.,0.7,Yes
My chemotherapy port developed biofilm infection.,1,Yes
Biometric door locks disabled during power outage.,0.5,No
I require cold storage for pancreatic islet cell samples.,1,Yes
My dementia risk score prompted APOE4 testing.,1,Yes
Smart glasses incorrectly flagged retinal hemorrhage.,0.7,Yes
I encrypted all digital fertility preservation records.,0.9,Yes
My antipsychotic medication caused metabolic syndrome.,1,Yes
Fall detection pendant failed during bathroom accident.,0.8,Yes
I legally bound my crypto wallets to biometric access.,1,Yes
My artificial cornea developed calcification deposits.,1,Yes
Voice-to-text medical journal contained transcription errors.,0.4,No
I mandated organic burial without embalming chemicals.,0.8,Yes
